명칭,우편번호,주소,위도,경도,개요,문의 및 안내,개장일,쉬는날,이용시간,주차시설,시설정보
안돌오름,63355,제주특별자치도 제주시 구좌읍 송당리 산 66-2,33.4573054352,126.7560844718,"구좌읍 송대천간 도로(1112번 도로) 건영목장 입구 주변에서 서쪽방향으로 바라보면 세 오름이 나란히 있는데, 제일 왼쪽의 도로가에 붙어 있는 것이 거슨세미, 오른쪽에 나란히 안돌오름, 밧돌오름이다. 남서쪽에 있는 안돌오름은 안쪽에 들어앉아 있어서 안돌오름(內石岳)이라 부르고 있으며, 웃송당에서 송당공동묘지를 돌아 들어가면 오름 앞에 이르게 된다. 안돌오름은 북서쪽 봉우리가 정상이고, 남동쪽 봉우리와의 사이에 동쪽으로 골이 파여 있는 형태로 말굽형 화구를 이루면서, 화구 안사면의 골이 패인 곳에서만 유일하게 나무가 우거져 자연림의 숲을 이루고 있는 특징을 보이며, 그 외 사면은 매끈한 풀밭오름이다. (출처 : 비짓제주)",제주관광정보센터 064-740-6000,,연중무휴,상시 개방,,
용담해안도로,63152,제주특별자치도 제주시 서해안로 687-1(용담이동),33.5158700504,126.5120821042,"용두암부터 도두봉까지 이어지는 6Km의 해안도로로, 제주도민들이 즐겨 찾는 드라이브 코스다. 특히 밤에 더욱 화려한 빛을 발한다. 올레 17코스 중 일부다. 정식 명칭은 ‘서해안로’지만, 제주 유명 관광지인 용두암과 가까이 자리하고 있어 용두암 해안도로 또는 용담 해안도로로 알려져 있다. 해안도로 중간중간 차를 대고 바다를 볼 수 있는 공원이 조성되어 있고, 바다를 비추는 조명도 설치되어 있어 밤낮으로 바다를 보기 위해 찾는 사람들이 많다. 해안도로의 마지막은 도두봉이 자리 잡고 있다. 도두봉은 경사가 완만해 누구나 올라가기 편하다. 특히, 도두봉은 노을 명소로도 유명한 오름이고 공항과 가깝기 때문에 제주도에 도착하거나 출발하기 전에 들르기 좋다.",제주관광정보센터 064-740-6000,,연중무휴,상시 개방,가능,
신도포구,,제주특별자치도 서귀포시 대정읍 신도리 3046-2,33.2776660082,126.1698755227,"신도포구는 제주 올레 12코스에 속해 있어 도보 여행객들이 주변의 경치를 감상하기에 좋을 뿐만 아니라, 이곳이 특별한 이유는 돌고래를 자주 만날 수 있는 장소이기 때문이다. 소공원에는 돌고래를 조망할 수 있게 돌 전망대가 마련되어 있다. 위로 올라가 바다를 내려다보면, 바다를 조망하는 눈높이의 다양성을 느낄 수 있다. 신도포구에는 나무 또는 돌의 속을 동그랗게 파놓은 형태의 말이나 소 또는 돼지의 먹이통으로 불리는 ‘도구리’를 발견할 수 있다. 이곳의 도구리는 용암으로 인해 자연적으로 형성되었다. 도구리 안의 원형 바닷물은 장관을 이루며 그 안에는 휩쓸려온 물고기들이나 문어 등이 산다고 알려져 있다. 신도포구 해안로를 따라 거닐다 보면 잔디가 깔린 공원을 발견할 수 있는데 ??????? 잠시 산책을 하며 쉬거나 바다 풍경을 감상하는 시간을 가지는 것도 좋다.",064-773-1731,,연중무휴,상시 개방,가능(신도포구 공용주차장),
상효원수목원/상효원,63577,제주특별자치도 서귀포시 산록남로 2847-37(상효동),33.3072442933,126.5860192949,"상효원은 약 264,462㎡ (8만 평) 규모를 가진 서귀포시 소재의 수목원이다. KC코트렐 이달우 회장이 아름다운 자연경관을 다른 사람들과 공유하고자 설립했다. 한라산과 서귀포 바다가 보이는 이곳은 해발 400m에 있으며, 제주 고유의 자생식물을 보유하고 있다. 제주 토종의 한란, 새우란과 같은 식물의 원생지이며, 100년 이상의 노거수와 상록 거목이 밀집해 있어, 수종의 다양성, 희귀성 측면에서 보존 가치가 높다. 상효원 내에는 엄마의 정원, 약용 식물원, 비밀의 정원, 곶자왈, 세미꼿 정원 등 16개의 테마의 정원이 조성되어 있어 공간별로 다채로운 식물을 세심하게 관찰할 수 있다. 또한 희귀ㆍ멸종 위기 식물의 식물자원을 보존하고, 원예적으로 가치가 높은 식물을 연구하여 보존하고자 식물자원연구소를 운영하고 있다. 카페, 한식당, 미니갤러리 & 기프트 샵을 비롯해, 웨딩(컨벤션)과 바람을 컨셉으로 한 최신시설의 연회장과 신나는 놀이 시설 에어바운싱돔, 캠핑장 등 다채로운 부대시설을 갖췄다. 이뿐만 아니라 친환경 전기기차를 타고 제주 고유의 자생식물들이 있는 본 수목원 곳곳을 관람할 수 있으며, 제주도의 '녹색 관광지 만들기' 사업 참여 관광지로서 친환경 소비 실천 시 다양한 혜택을 제공하는 그린카드 소지 관광객 대상으로 할인혜택을 제공한다.",064-733-2200,,연중무휴,3월~9월 09:00~19:00<br> 10월~2월 09:00~18:00<br> ※ 입장마감 폐관 1시간 전,"가능(소형 82대, 대형 18대)",
동일리포구,63506,제주특별자치도 서귀포시 대정읍 동일하모로98번길 14-32,33.225489535,126.2401122413,"동일리포구는 소규모 어항으로 분류되어있으며 동일리는 옛날엔 날 외라고 불리었다고 한다. 소금을 만드는 염전 터가 전해 내려오며 역사 유적과 함께 유서 깊은 마을이라고 알려진다. 동일리포구에는 용천수가 있는데 예전에 동일리 남쪽 일대는 수많은 용천수가 솟아나는 홍물이었다고 하지만, 현재는 말라있거나 식수로는 사용이 되지 않는다. 돌담들과 밭을 보며 정겨운 마을을 구경할 수 있고 마을 안에 마련되어 있는 쉼터에서 잠시 쉬다가 갈 수도 있다. (출처 : 제주 문화관광 홈페이지)",064-794-2276,상시개방,연중무휴,상시개방,가능,
박수기정,63531,제주특별자치도 서귀포시 안덕면 난드르로 90-25,33.2371845468,126.3587516855,"대평리에 위치한 박수기정은 중문의 주상절리나 애월 해안도로의 해안 절벽 같은 멋진 풍경을 지닌 곳이다. 샘물을 뜻하는 ‘박수’와 절벽을 뜻하는 ‘기정’이 합쳐져 ‘바가지로 마실 수 있는 깨끗한 샘물이 솟아나는 절벽’이라는 의미를 가지고 있다. 제주 올레 9코스의 시작점이기도 하며 올레길은 박수기정의 윗길로 오르게 되어있다. 소나무가 무성한 산길을 오르면 소녀 등대가 서 있는 한적한 대평포구가 한눈에 내려다보인다. 박수기정 위쪽 평야 지대에서는 밭농사가 이루어지는 것도 볼 수 있다. 박수기정의 절벽을 한눈에 보려면 박수기정 위보다는 대평포구 근처에서 보는 것이 좋으며, 포구 아래의 자갈 해안에서 보면 병풍같이 쭉 펼쳐진 박수기정의 절경을 감상할 수 있다. 수직으로 꺾여있는 벼랑의 높이는 약 100m에 이른다. 인근에 박수기정과 바다를 함께 볼 수 있는 카페들이 있으므로, 여유 있게 앉아 박수기정의 시원한 풍경을 바라볼 수 있다. 박수기정은 일몰이 아름답기로 유명하다. 깎아지른 듯한 절벽 너머 주홍빛으로 하늘을 물들이며 천천히 해가 넘어가는 모습을 보고 있으면, 그 웅장한 절경에 압도당하는 기분마저 든다. 제주 자연이 그려낸 한 폭의 수채화 같은 풍경을 보고 싶다면, 저녁 시간 박수기정에 방문해 멋진 일몰을 즐기는 것을 추천한다. (출처 : 비짓제주)",제주관광정보센터 064-740-6000,상시개방,연중무휴,상시 개방,가능,
산방산유람선,63530,제주특별자치도 서귀포시 안덕면 화순해안로106번길 16,33.2370675236,126.3352176189,"세계지질공원으로 인증된 산방산과 용머리해안을 따라 그림처럼 펼쳐지는 황홀한 바다 풍경을 산방산유람선에서 감상할 수 있다. 크루즈 코스는 화순항을 출발해서, 화순금모래해변 - 항만대 - 산방산 - 용머리해안 - 단산 - 형제섬 - 송악산 - 주상절리 - 가파도,마라도 - 박수기정 - 화순항으로 돌아오는 코스로 산방산 부근의 여러 관광 스팟을 편안하게 눈에 담아 볼 수 있다. 산방산유람선 코스의 경우 승선 후 1시간 정도의 운항을 하고, 하루에 3회 정도 배가 있다. (출처 : 제주 문화관광 홈페이지)",064-792-1188~9,,기상악화 시 결항,1항차 11:00~12:00<br> 2항차 14:10~15:10<br> 3항차 15:20~16:20,가능,"주차가능,화장실있음"
알작지,63074,제주특별자치도 제주시 테우해안로 60,33.4962044339,126.4412414879,"제주시 내도동에 있는 알작지 해변은 평범한 모래사장으로 이루어진 해변과는 다르게 동글동글한 돌들로 이루어진 해변이다. 동그란 ‘알’과 돌멩이를 뜻하는 제주도 말 ‘작지’가 합쳐져 만들어진 알작지는 몽돌해변이다. 알작지의 자갈들은 한라산 계곡에서부터 운반되어 퇴적된 것들로, 오랜 세월 동안 무수천과 월대천을 따라 이곳 알작지까지 운반되는 동안 파도에 의해 다듬어지는 과정을 겪었기 때문에 자갈의 모양이 더욱더 동글동글하다. 알작지는 독특함과 아름다움을 공식적으로 인정받아 지난 2003년 12월, 문화유산으로 지정되었다. 진하고 동그란 먹돌과 차돌로 이루어진 해안가와 부서지는 파도가 어울리는 알작지 해변의 이국적인 풍경에 전문 사진작가들도 즐겨 찾는다. 바로 옆이 도심지인데도 불구하고 알작지는 한적하고 조용한 분위기를 만끽할 수 있어, 일상에 지친 시민들이 힐링하며 휴식을 취하기에 적합한 장소이다.",,,연중무휴,상시개방,가능 (알작지 방파제 주차장),
오조포구,63639,제주특별자치도 서귀포시 성산읍 오조로80번길 47,33.4630824351,126.9195896088,"한적하고 조용한 마을에 위치한 오조포구는 바다 위로 성산 일출봉의 모습이 보이는 풍경이 아름다운 곳이다. ‘오조(吾照)’는 '일출봉에 해가 뜨면 제일 먼저 나를 비춘다'라는 의미이다. 주변에는 산책하기 좋은 둘레길이 있어 이곳만의 경치를 만끽하며 여유로운 산책을 즐길 수 있다. 오조리 마을과 연결된 나무다리가 있는데, 이 다리를 거닐면 바다 위를 걷는 듯한 기분을 느낄 수 있다. 올레 2코스가 지나가는 곳이라 도보 여행객들도 잠시 머물며 성산 일출봉과 바다가 어우러진 경치를 즐기다 가곤 한다. 인근의 식산봉에 올라 푸른 나무와 맑은 공기 속에서 오조포구의 풍경을 감상하는 것도 좋다. 재미를 주는 볼거리나 눈길을 사로잡는 화려함은 없지만, 바다의 풍경과 성산 일출봉, 주위 자연경관들이 어우러져 멋진 풍경을 연출하는 곳으로 제주 해안마을의 한적함을 느낄 수 있다.",064-782-3182,,연중무휴,상시 이용 가능,가능,
형제해안도로,63528,제주특별자치도 서귀포시 안덕면 사계리 3682,33.238261531,126.3157581698,"형제해안도로는 대정읍 상모리 송악산에서 안덕면 사계리를 연결하는 도로이다. 형제해안도로는 사계리와 상모리의 해안과 형제섬, 그리고 국토의 최남단인 마라도의 모습도 확인할 수 있어 푸른 바다와 어우러진 다양한 풍경을 즐길 수 있고, ‘한국의 아름다운 길 100선’에 선정될 만큼 아름다운 경치를 자랑한다. 주변 명소로는 사계해변, 형제섬, 발자국 화석 산지 등이 있고, 마라도 잠수함 선착장, 사계리해안 체육공원, 환태평양 평화 소공원 등의 시설이 있어 다양한 볼거리도 제공한다. (출처 : 제주 문화관광 홈페이지)",064-740-6000,,연중무휴,상시개방,,
싱계물공원,63002,제주특별자치도 제주시 한경면 신창리 1322-1,33.3434476864,126.1739042716,"제주시의 숨은 비경 중 하나로 선정되기도 했던 싱계물공원은 신창-풍차 해안이라는 이름으로 더 유명한 곳으로 주변의 풍력발전기들과 함께 이국적인 풍경을 보여준다. 싱게물(싱계물)은 제주 사투리로 ‘새로 발견한 갯물’이라는 의미이며 갯물이라는 것은 용천수를 의미한다. 싱계물공원에는 예전에 목욕탕으로 쓰이던 곳이 있는데, 돌담으로 남탕·여탕이 구분되어 있으며, 용천수라 맑고 깨끗하며 시원하다. 싱계물공원에는 등대까지 직접 걸어갈 수 있도록 바다 위로 다리가 설치되어 있다. 바람과 파도에 살짝 흔들거리기도 하는 다리를 건너면 마치 바다 위를 걷는 것만 같은 이색적인 느낌을 받을 수 있다. 바다에 떠 있는 느낌의 사진이나 근방의 억새를 배경으로 촬영을 많이 하며 최근에는 셀프웨딩 명소로 주목받고 있다. 싱계물공원의 최고의 아름다운 순간은 노을이 질 때다. 신창-용수 해안도로로 이어지며 바다와 풍차가 어우러진 이곳에서는 멀리 보이는 차귀도, 수월봉과 함께 떨어지는 낙조가 아름다운 풍경을 선사한다.",신창리사무소 064-773-1939,,연중무휴,상시 개방,가능(싱계물공원 주차장),
새별프렌즈 (새별헤이요목장),63039,제주특별자치도 제주시 애월읍 평화로 1529,33.3615847697,126.3636734821,"새별프렌즈 (새별헤이요목장)은 새별오름 맞은편에 있는 목장이다. 제주도의 아름다운 자연경관과 함께 알파카, 말, 당나귀, 양, 흑염소, 토끼 등 다양한 동물들과 직접 교감을 나눌 수 있다. 당근 스틱을 구매하면 알파카와 당나귀에게 먹이 주기 체험을 할 수 있고 초원에서 승마체험을 할 수 있다. 다양한 체험 프로그램으로 가족 관광객들에게 인기가 많다. 마차를 타며 제주의 자연을 즐길 수 있고 자연을 배경으로 사진을 찍는 것만으로도 힐링이 된다.",0507-1474-2832,,연중무휴,09:00~18:00<br> 입장마감 17:00,전용 주차장,
청수곶자왈,63006,제주특별자치도 제주시 한경면 연명로 348,33.3023007899,126.2590394503,"곶자왈이란 제주어로 ‘곶(숲)’과 ‘자왈(덤불)’의 합성어로 제주의 천연 원시림이라고 할 수 있다. 화산 활동 때 분출된 용암 위에 만들어진 곶자왈은 세계에서 유일하게 열대 북방한계 식물과 한대 남방한계 식물이 공존하는 제주의 독특한 지형이다. 청수 곶자왈은 제주도 내 최대 '운문산 반딧불이'의 서식지인 만큼 청정하게 유지되고 있는 생태 숲이다. 저녁이 되면 반딧불이의 빛이 만들어내는 동화 같은 신비함을 눈에 담을 수 있다. 반딧불이는 날씨에 영향을 많이 받기 때문에 아름다운 반딧불이의 빛을 보기 위해서는 날씨를 확인하고 오는 것이 좋고, 입장 시에는 어두운 옷을 착용해야 한다. 청수 곶자왈은 산책로도 잘 정비되어 있어 낮에 가볍게 산책을 즐기기에도 좋다. 곶자왈의 맑은 공기와 시원한 바람, 나무들의 속삭임을 들을 수 있는 곳이며, 평온함을 주는 곳이기에 일상에서 벗어나 한때의 여유로움을 느낄 수 있다.",064-772-5580,,연중무휴,상시 개방,가능,
유채꽃프라자,63622,제주특별자치도 서귀포시 표선면 녹산로 464-65,33.3937620664,126.7317796972,"큰사슴이 오름 앞에 위치한 유채꽃플라자는 2013년 가시리권역 농촌마을 종합개발사업의 일환으로 건축된 농촌체험연수원이다. 7개의 숙박 객실과 독립된 2채의 통나무 숙박시설이 있고 1층에는 카페, 세미나실, 셀프 카페테리아가 있다. 잔디 광장과 야외무대 및 족구장 등이 부대시설로 갖추어져 소규모 워크숍이나 수련회 활동을 위해 많이 찾는 곳이다. 봄에는 벚꽃과 유채꽃이 어우러진 녹산길이 장관을 이루고, 여름밤 별빛과 바다에 떠있는 배의 불빛이 야경의 운치까지 더하며, 가을 억새의 향연과 풍력발전기가 함께 하는 풍경은 이국적인 아름다움을 선사한다.",064-787-1665,,,이용시설에 따라 이용시간 상이하므로 홈페이지 참조 또는 전화 문의 요망,가능,
도련 감귤나무 숲,63328,제주특별자치도 제주시 도련남3길 81,33.5003118593,126.5871453787,"감귤 따기 체험을 할 수 있는 도련 감귤나무 숲은 입장객들이 한 번에 몰리는 불편함을 최소화하기 위하여 하루 4타임(1부 10:00~11:30분, 2부 11:30분~13:00, 3부 14:00~15:30분, 4부 15:30~17:00)으로 운영한다. 온라인 예약과 함께 현장에서도 바로 결제할 수 있다. 시기별 과일의 종류도 다른데 8월~9월에는 청귤, 10월~1월에는 감귤, 2월~3월에는 한라봉 따기를 체험할 수 있다. 과일의 경우 날씨에 따라 가변적이니 원하는 체험이 있다면 전화로 미리 확인 후 방문하는 게 좋다. 체험하기 전에 맛있는 귤 찾는 방법과 따는 법에 대하여 간단한 설명을 해준다. 감귤 따기 체험 후 시식은 정해진 구역에서 마음껏 즐길 수 있다. 공항에서 20분 거리에 있어 제주도 여행의 마지막 코스로 이곳에 들러도 좋다.",064-752-7733,,연중무휴,10:00~17:00 (점심시간 13:00~13:45),가능,
제주 스위스마을,63342,제주특별자치도 제주시 조천읍 함와로 566-27,33.4939389994,126.6767932932,"제주도 스위스 마을은 다채로운 색감의 상가와 숙박시설로 꾸며져 있으며 마을 곳곳에 여행자들을 위한 포토존들이 마련되어 있는 곳으로, 여러 공방과 아기자기한 소품 숍들이 있어 함께 구경하기 좋은 곳이다. 언덕배기에 지어진 마을이라 올라갈수록 아름다운 제주도의 바다가 펼쳐져 마치 동화 속에 들어온 듯한 느낌을 받을 수 있다.",064-740-6000,,,,,
제주 교래자연휴양림,63345,제주특별자치도 제주시 조천읍 남조로 2023,33.4513961615,126.6567237837,"교래자연휴양림은 제주의 곶자왈 지역에 조성된 자연휴양림으로, 숲속의 초가, 야외공연장 등이 갖춰진 휴양지구와 야영장 및 야외무대, 풋살경기장 등이 자리잡은 야영지구, 곶자왈 생태를 관찰 할 수 있는 생태체험지구, 3.5km의 오름산책로를 통해 큰지그리오름 산행을 할 수 있는 삼림욕지구 등 총 4개 구역으로 나뉘어서 조성되어 있다. 일상에 지친 현대인들에게 치유와 휴식공간으로 각광받고 있다.",,,,하절기 : 07:00 ~ 16:00 동절기 : 07:00 ~ 15:00,,
솔오름 (미악산),63576,제주특별자치도 서귀포시 인정오름로 387-63(동홍동),33.3005945221,126.5542194241,"솔오름은 토평동 산 16번지 일대에 있다. 동홍과 토평의 경계지역이기도 하며, 높이는 113m로 낮은 편이다. 솔오름의 솔은 ???(쌀)을 이르는 옛말 가운데 하나로, 이 때문에 한자로는 米岳山(미악산)으로 쓴다. 과거 솔오름에서 여러 목장을 운영하면서 벌레 방제와 덤불 제거를 하기 위해 인공적인 산불이 자주 났으나, 지금은 관리를 통해 우거진 산림이 조성됐다. 그 덕에 산행 또는 운동 코스로 더욱 많이 알려진 곳이다. A 코스, B 코스로 이루어졌으며, 왕복 1시간 이내로 가벼운 산행을 할 수 있다.",064-760-4701,,연중무휴,,있음,"주차가능,화장실있음"
바리메 / 바리메오름,,제주특별자치도 제주시 애월읍 어음리 산1,33.3930648051,126.3752995443,"바리메 오름은 제주시 애월읍 어음리에 있는 오름으로 해발 763m이며 오름 중 가장 높고 경사가 가파른 오름에 속한다. 오름 정상 분화구 모양이 절에서 쓰는 승려들의 공양 그릇 바리를 닮았다고 하여 바리메 오름으로 불리게 되었다 정상 분화구 깊이는 78m이고 직경 130m이다. 오름의 서쪽으로는 목장이 들어서 있고, 나머지 경사면은 소나무가 무성히 자라고 있다. 경사가 있는 오름으로 둘레길처럼 운동화 차림보다는 등산화 차림이 편할 수 있다. 등산로를 따라 다양한 야생화와 피어있고 정상에는 다래 오름, 폭낭오름, 괴오름, 북돌아진 오름 등이 있어 크고 작은 오름들이 어울려 있는 진풍경을 만날 수 있다. 산악자전거 코스로도 인기다.",제주관광정보센터 064-740-6000,,연중무휴,상시 개방,가능,
용수성지,63009,제주특별자치도 제주시 한경면 용수1길 108,33.3228915301,126.1677385965,"제주시 한경면 용수리 해안은 성 김대건 안드레아 신부가 중국 상해에서 출발해 서해로 귀국하다가 표착한 곳이다. 김대건 신부는 한국인 최초로 상해에서 사제품을 받았는데, 라파엘 호를 타고 귀국하던 중 큰 폭풍우를 만나 표류하다가 용수리 해안으로 오게 됐다고 한다. 이후 경기도 용인에서 사목 활동을 하다가 순교하였는데, 이 선교 열정과 순교 정신을 기리기 위해 용수리 포구를 성지로 선포하고 기념 성당과 기념관, 라파엘 호를 복원해 전시하고 있다. 올레길 12코스와 13코스의 연결지점인 용수 포구에 있어 천주교 신자가 아니더라도 한 번쯤 들러보기 좋은 곳이다. * 매주 화~일 11:00시 미사 * 자체 개별 미사 신청은 오후 시간대에만 가능 * 단체 관람 및 예약은 사전예약 필수",064-772-1252,,"매주 월요일 기념관 휴관 (단, 성당은 개방)",09:00 ~ 18:00,주차가능,
송악산전망대,,제주특별자치도 서귀포시 대정읍 상모리 2-13,33.1981045181,126.2943831374,"99개의 작은 봉우리가 모여 있다고 하여 99봉이라고도 불리는 송악산에는 3개의 전망대가 있어 주변의 빼어난 경치를 감상할 수 있다. 특히, 마라도와 가파도, 형제섬 그리고 한라산과 해안을 따라 펼쳐진 주변 경관을 감상할 수 있어 관광객들이 많이 찾는 곳이다. 전망대를 향해 오르다 보면 일제 강점기 일본군의 군사기지를 위해 만들어 놓은 인공 동굴들도 볼 수 있다. 넓은 평지와 계단이 번갈아 있어 산책 삼아 해안을 내려다보면서 한 바퀴 둘러보기에도 좋다.",064-740-6000,,,,있음,"주차가능,화장실있음"
송악산 진지동굴,,제주특별자치도 서귀포시 대정읍 상모리 238,33.1991210589,126.2935109685,"송악산 해안절벽에 있는 인공동굴로, 1945년 초 일본군이 연합군의 공격에 대비하거나 중국 침략을 목적으로 구축해 둔 동굴이다. 송악산 해안 절벽을 훼손해 가며 모두 15개의 인공 동굴을 뚫었고, 제주도민들을 강제 동원한 곳이기도 하다. 동굴 너비는 3~4m, 길이는 20여 m로 우리나라에서는 쉽게 찾아볼 수 없는 일제 강점기 군사시설이다. 동굴 안쪽에서 바라보면 희미하게 형제 섬이 보이는데, 바라보는 위치에 따라 두 개에서 네 개, 열 개로 쪼개지는 신기한 모습을 보여준다. 최근엔 붕괴 위험으로 접근이나 출입이 금지된 상태이다.",064-740-6000,,연중무휴,,가능(송악산 주차장),"주차가능,화장실있음"
삼양해안도로,63320,제주특별자치도 제주시 삼양삼동 2582-1,33.525339511,126.5788233094,"삼양 해안도로는 제주 북부에 있는 삼양동 해안을 따라 이어져 있는 도로다. 삼양동 마을에서 시작해 삼양 해수욕장에서 끝이 나며, 해안 도로 중 가장 거리가 짧다. 검은 모래 해변을 따라 연결된 이곳은 양쪽의 도로변을 따라 가로등이 이어지며, 일몰과 야경이 아름다워 관광객들이 많이 찾는다. 7월에는 삼양 검은 모래 해변축제가 열리며, 검은 모래로 모래찜질을 하면 신경 질환 및 비만 치료, 관절염 등에 효험이 있다고 하여 관광객과 현지 도민의 방문도 잦은 곳이다. 제주시가 선정한 ‘제주시 숨은 비경 31’에 포함된 곳이기도 하다.",064-740-6000 / 064-728-4712,,,상시 개방,주차가능,
새미은총의동산 (성이시돌),63021,제주특별자치도 제주시 한림읍 새미소길 15,33.3483050542,126.3237716904,"새미 은총의 동산은 예수님의 탄생부터 최후의 만찬까지 12개의 주요 사건을 표현한 ‘예수님 생애 공원’과 ‘삼위일체 대성당'이 있는 곳으로, 천주교 제주교구의 성지 순례 장소다. 전체 면적은 약 264,000㎡에 달하며 언제든 신자들이 찾아와 기도할 수 있도록 24시간 개방하고 있다. 또, 성 이시돌 목장 뒤를 순례지로 개발해 넓은 동산과 연못, 성모상과 대형 십자가 등을 볼 수 있게 했다. 야외에서는 동시에 약 5천여 명이 함께 야외 미사를 보거나, 각종 공연이나 행사 공간으로 사용할 수 있다. 최근 많은 사람들이 찾는 여행지로 각광받고 있으며 다양한 조형물과 산책로, 넓은 들판이 있어 종교인이 아니어도 힐링할 수 있는 곳이다.",064-796-4181,,,상시,가능,
저지문화예술인마을,63005,제주특별자치도 제주시 한경면 저지14길 28-2,33.3394579164,126.266882387,"저지문화예술인마을은 전국의 유명한 예술인이 모여 작품을 생산하는 문화 예술인촌이 형성돼 있는 곳이다. 사진작가와 디자이너 등 다양한 분야의 예술인들이 살아가는 삶의 터전이기도 하다. 곶자왈, 방림원 등 이색적인 공간이 많아 제주의 문화와 볼거리를 함께 즐길 수 있다. 길목마다 아름다운 시와 문구가 쓰인 표지석들이 자리하고 있다. 자연과의 공존, 문화 예술 테마 공간을 목표로 하여 설립한 제주 현대 미술관과 김창열 미술관 등 자연과 어우러져 여유로운 관람을 할 수 있는 다양한 문화 예술 공간이다.",064-740-6000,,연중무휴,상시,가능,
하례감귤체험농장,63607,제주특별자치도 서귀포시 남원읍 하례로 504,33.2913520887,126.6165503401,"한적한 오름에 둘러싸인 하례 감귤체험농장은 자녀들과 함께 귤을 수확해 볼 수 있는 귤밭이다. TV에도 여러 번 소개된 적이 있는 이곳은 감귤 중에서도 특히 당도가 높은 타이벡 감귤 품종을 재배한다. 체험 시간제한이 없으며, 수확하는 방법이 어렵지 않아 어린이들도 직접 신선한 귤을 만져보고 체험할 수 있는 공간이다. 농장 중간에 감성 가득한 포토존이 마련되어 있어 수확의 재미뿐 아니라 다양한 추억을 선사한다. 감귤은 10월부터 체험할 수 있으며, 여름에는 상큼한 맛이 일품인 청귤을 만나볼 수 있다.",0507-1388-7243,,연중무휴,09:30~17:00,가능 (농장주변),
새섬공원,63594,제주특별자치도 서귀포시 남성중로 43(서홍동),33.2397485318,126.5588092829,"새섬 공원은 새섬 또는 모도[茅島]라고 불리는 서귀포시 서귀동에 있는 섬 공원이다. 억새인 새[茅]가 많아 붙은 이름이지만, 새[鳥]로 오해하여 조도[鳥島]로 오기하기도 한다. 새섬 공원으로 들어가기 위해서는 새연교라는 아름다운 다리를 건너 들어가야 하는데, 바람과 돛을 형상화한 높이 45m의 주탑과 화려한 LED 조명 시설이 있어 밤낮으로 관광객들의 사랑을 받고 있다. 새섬 공원은 도보로 약 20분 정도면 둘러볼 수 있으며 서귀포항과 새연교의 멋진 풍경을 여유롭게 즐길 수 있다.",064-760-3192,,연중무휴,상시개방,가능,
대록산 (큰사슴이오름),63622,제주특별자치도 서귀포시 표선면 녹산로 536,33.3915764084,126.7449563821,"대록산은 서귀포 표선면 가시리에 있는 고도 466m의 측화산(기생화산)이다. 전반적으로 가파르고 둥근 모습이 사슴 모양을 닮았다고 하여 큰사슴이오름으로 불린다. 정상의 봉우리 사이에는 둥그렇게 패어있는 원형 화구를 가지고 있다. 사시사철 자연의 아름다움을 자랑하는 곳이지만, 특히 가을이면 넓게 펼쳐진 억새로 많은 관광객이 찾는다. 정상으로 가는 길목에 있는 이 억새밭은 넓은 들판과 대록산을 배경으로 완벽한 포토존을 만들어 낸다. 억새밭에서 정상까지는 약 1.3km 정도이며, 다소 계단이 많으니 편안한 복장으로 다녀오는 것을 추천한다.",주관광정보센터 064-740-6000,,,,가능,
황우지해안열두굴,63594,제주특별자치도 서귀포시 남성로 93(서홍동),33.2415509361,126.5477963074,"제주도 내에는 일제 강점기 말에 이르러 일본군이 만든 군사 시설을 심심치 않게 찾아볼 수 있다. 삼매봉 남서쪽 해안가에는 ‘황우지굴’, ‘열두굴’ 등으로 불리는 황우지 해안 열두굴은 제2차 세계대전 당시 일본군이 미군의 공격을 대비해 어뢰정을 숨기기 위해 인공적으로 만들어 놓은 동굴이다. 각각 15m 안팎의 거리를 두고 직선으로 나란히 뚫려 있으며, 높이가 약 3m, 폭이 약 3m~4.5m, 깊이는 약 10m~30m이다. 열두 동굴 중 열 번째 굴과 열한 번째 동굴은 서로 내부에서 연결되어 독특한 h자 형을 이루고 있다. 이러한 인공굴은 일본 식민지 지배의 과거사와 강제 노역의 현장을 고증하고 있다는 점에서 역사적 가치가 있는 곳이다.",제주관광정보센터 064-740-6000,,,상시 개방,가능(공용주차장),화장실있음
답다니탑망대,63365,제주특별자치도 제주시 우도면 우도해안길 602,33.524456743,126.9525853309,"우도 해안 도로를 따라 돌다 보면 유난히 돌탑을 많이 만나게 된다. 특히, 바위 크기로 쌓아 올린 탑 모양이 무척 이색적인데, 이런 돌탑 중에서도 망루처럼 쌓아 올린 답다니탑망대라고 불리는 곳이 있다. 제주 4.3 사건 당시 제주도 본섬과 바다의 상황들을 알아보고자 쌓아 올린 초소의 역할을 했다. 그 이전에는 1895년까지 불을 지펴 소식을 전하는 봉수대로 썼다고 한다. 답다니탑망대 옆에는 득생곶등대라는 망루 등대가 있는데, 우도를 찾는 관광객들에게 먼바다와 해변을 배경으로 사진을 찍을 수 있는 쉼터가 되어주고 있다.",제주관광정보센터 064-740-6000<br> 우도면사무소 064-728-1527,,,상시 개방,가능(공용주차장),"주차가능,화장실있음"
